City,Country,Lat,Long,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Mahébourg,MU,-20.4081,57.7,78.26,73,75,18.41,1650652172
Mataura,NZ,-46.1927,168.8643,47.48,97,62,2.95,1650652172
Port Alfred,ZA,-33.5906,26.891,61.18,91,93,4.0,1650652172
Jamestown,US,42.097,-79.2353,58.51,35,0,4.61,1650652173
Cherskiy,RU,68.75,161.3,17.02,96,100,7.2,1650652173
Geraldton,AU,-28.7667,114.6,68.41,42,0,18.41,1650652174
Airai,TL,-8.9266,125.4092,59.32,79,100,2.89,1650652174
Prieska,ZA,-29.6641,22.7474,72.59,34,6,5.48,1650652174
Vardø,NO,70.3705,31.1107,35.58,93,75,8.05,1650652175
Ponta do Sol,PT,32.6667,-17.1,66.83,61,36,16.64,1650652175
Jalu,LY,29.0331,21.5482,85.24,8,40,10.38,1650652175
Raahe,FI,64.6833,24.4833,42.89,86,37,6.89,1650652176
Aykhal,RU,66.0,111.5,1.58,100,97,5.41,1650652176
Hong Kong,HK,22.2855,114.1577,77.38,91,39,8.99,1650651953
Petropavl,KZ,54.8753,69.1628,35.2,47,71,6.89,1650652177
Havre-St-Pierre,CA,50.2334,-63.5986,35.96,93,100,13.8,1650652177
Saint-Philippe,RE,-21.3585,55.7679,76.59,86,50,16.4,1650652177
Coreaú,BR,-3.5333,-40.6567,80.74,85,80,2.46,1650652178
Campoverde,PE,-8.4753,-74.8058,83.89,38,45,2.53,1650652178
Kilcormac,IE,53.1742,-7.7256,57.07,72,81,14.03,1650652178
Ribeira Grande,PT,38.5167,-28.7,61.2,59,75,11.5,1650652179
Port Hardy,CA,50.6996,-127.4199,50.18,71,75,11.5,1650652179
Fushun,CN,41.8558,123.9233,44.31,37,0,6.51,1650652179
Consuelo,PH,10.6348,124.301,82.09,76,52,9.69,1650652180
Sosnovoborsk,RU,56.1325,93.3589,25.47,71,93,15.88,1650652180
Chapais,CA,49.7834,-74.8492,29.98,62,98,15.19,1650652180
Paphos,CY,34.7667,32.4167,62.38,82,0,4.61,1650652111
Helong,CN,42.5397,128.9972,36.54,59,1,5.48,1650652181
Bozüyük,TR,39.9078,30.0367,63.34,48,12,7.96,1650652181
Tilichiki,RU,60.4667,166.1,14.54,93,99,4.63,1650652181
Oistins,BB,13.0667,-59.5333,86.09,54,20,17.27,1650652182
Carnarvon,AU,-24.8667,113.6333,66.27,94,0,8.05,1650652182
Codrington,AU,-38.2667,141.9667,45.88,86,23,7.2,1650652182
Salinópolis,BR,-0.6136,-47.3561,81.43,77,73,5.1,1650652183
Tomari,RU,47.7658,142.0683,41.83,99,100,2.17,1650652183
Kaeo,NZ,-35.1,173.7833,58.32,83,1,9.4,1650652184
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,86.27,72,70,0.83,1650652184
Yellowknife,CA,62.456,-114.3525,39.72,28,75,3.44,1650652184
Lata,PT,40.1629,-8.3327,51.82,89,99,7.7,1650652185
Port-Gentil,GA,-0.7193,8.7815,80.56,83,40,5.75,1650652185
Norman Wells,CA,65.282,-126.8329,23.04,46,0,13.8,1650652185
El Dorado,US,38.7666,-120.5177,50.29,89,81,4.12,1650652186
Srednekolymsk,RU,67.45,153.6833,11.5,97,99,5.79,1650652186
La Rioja,ES,42.25,-2.5,49.78,91,100,7.54,1650651985
Narsaq,GL,60.9167,-46.05,48.42,75,99,1.03,1650652186
Paita,PE,-5.0892,-81.1144,74.34,71,20,12.15,1650652187
Sungai Raya,ID,0.7,108.9,79.63,84,94,3.36,1650652187
Bengkulu,ID,-3.8004,102.2655,77.0,89,100,5.61,1650652188
Kidal,ML,18.4411,1.4078,95.0,9,64,10.74,1650651971
Médéa,DZ,36.2642,2.7539,57.97,55,7,2.28,1650652188
Wuda,CN,39.4994,106.7117,57.69,16,0,2.08,1650652188
Coahuayana Viejo,MX,18.7333,-103.6833,91.8,33,7,8.14,1650652189
Saint Paul Harbor,US,57.79,-152.4072,40.51,93,100,23.02,1650652189
São Miguel do Araguaia,BR,-13.275,-50.1628,88.52,47,63,6.46,1650652189
Hollola,FI,61.05,25.4333,43.99,83,7,4.92,1650652190
San Cristobal,VE,7.7669,-72.225,78.98,51,83,4.29,1650652190
Cansanção,BR,-10.6672,-39.4992,87.31,43,91,9.4,1650652190
Beloha,MG,-25.1667,45.05,75.96,78,41,11.1,1650652191
Khatanga,RU,71.9667,102.5,-5.08,100,56,6.33,1650652191
Fortuna,US,40.5982,-124.1573,55.98,70,20,3.44,1650652191
Berdigestyakh,RU,62.0989,126.6992,16.83,98,100,0.92,1650652192
Puerto Madero,MX,14.7208,-92.4215,89.8,55,75,4.61,1650652192
Bela,IN,25.9333,81.9833,88.38,19,0,3.58,1650652192
East London,ZA,-33.0153,27.9116,63.54,94,40,9.22,1650652193
Dukat,RU,62.55,155.55,-1.26,100,95,3.38,1650652193
Klaksvík,FO,62.2266,-6.589,47.32,84,94,17.69,1650652194
Anadyr,RU,64.75,177.4833,25.3,100,0,4.47,1650652194
Yulara,AU,-25.2406,130.9889,60.64,48,65,8.05,1650652194
Katangli,RU,51.7102,143.2326,29.88,98,100,10.09,1650652194
Mogadishu,SO,2.0371,45.3438,83.19,77,66,15.88,1650652195
Mbekenyera,TZ,-10.0,38.9833,72.23,92,80,3.18,1650652195
Alofi,NU,-19.0595,-169.9187,71.49,94,58,1.14,1650652195
Sulangan,PH,11.1373,123.7228,82.09,79,35,12.91,1650652196
Gamba,GA,-2.65,10.0,78.8,87,100,4.7,1650652196
Rock Sound,BS,24.9,-76.2,75.04,78,98,23.22,1650652196
Cape Town,ZA,-33.9258,18.4232,61.21,67,20,20.71,1650652180
Bathsheba,BB,13.2167,-59.5167,86.61,54,20,17.27,1650652197
Bāfq,IR,31.6128,55.4107,76.35,28,100,1.28,1650652197
Victoria Point,AU,-27.5833,153.3,65.91,97,86,1.01,1650652198
Husavik,IS,66.0449,-17.3389,48.81,62,43,2.75,1650652198
Taltal,CL,-25.4,-70.4833,67.98,72,15,7.76,1650652198
Saldanha,ZA,-33.0117,17.9442,59.05,72,0,29.55,1650652199
Thompson,CA,55.7435,-97.8558,41.16,28,20,9.22,1650652199
Arona,ES,28.0996,-16.681,63.12,54,40,12.66,1650651944
Provideniya,RU,64.3833,-173.3,26.53,72,29,5.26,1650652199
Sémbé,CG,1.6481,14.5806,77.05,83,91,1.99,1650652200
Lompoc,US,34.6391,-120.4579,65.57,75,75,16.11,1650651914
Dikson,RU,73.5069,80.5464,-5.1,100,92,6.73,1650652200
Sitka,US,57.0531,-135.33,48.09,53,75,4.61,1650652201
Boddam,GB,57.4667,-1.7833,52.43,79,0,11.41,1650652202
Soyo,AO,-6.1349,12.3689,79.41,86,8,6.44,1650652202
Paamiut,GL,61.994,-49.6678,33.01,94,98,2.64,1650652203
Hilo,US,19.7297,-155.09,76.28,92,100,4.61,1650652150
Manono,CD,-7.3,27.4167,75.36,78,75,2.84,1650652204
Jumla,NP,29.2747,82.1838,48.72,75,7,2.33,1650652204
Kapit,MY,2.0167,112.9333,73.69,95,100,0.31,1650652205
George Town,MY,5.4112,100.3354,82.33,92,40,1.14,1650651912
Malumfashi,NG,11.7853,7.6218,94.19,25,98,5.66,1650652206
Straumen,NO,63.8709,11.2999,46.4,87,100,3.44,1650652206
Noumea,NC,-22.2763,166.4572,75.99,99,100,10.2,1650652207
Tuktoyaktuk,CA,69.4541,-133.0374,5.0,72,0,16.11,1650652207
Ocampo,MX,21.65,-101.5,76.73,26,0,2.46,1650652208
Batagay-Alyta,RU,67.8006,130.4114,9.86,96,100,4.14,1650652208
Port Elizabeth,ZA,-33.918,25.5701,61.32,89,0,16.11,1650652208
Carutapera,BR,-1.195,-46.02,81.27,81,100,3.94,1650652209
Iqaluit,CA,63.7506,-68.5145,11.93,61,100,3.44,1650652209
La Asuncion,VE,11.0333,-63.8628,85.73,54,100,16.11,1650652210
Karratha,AU,-20.7377,116.8463,80.62,29,8,9.73,1650652210
Pyshchug,RU,58.8873,45.7134,40.32,66,13,5.08,1650652211
Benghazi,LY,32.1167,20.0667,68.18,58,79,11.52,1650652211
Qasigiannguit,GL,68.8193,-51.1922,23.25,86,100,3.47,1650652211
Zhezkazgan,KZ,47.8043,67.7144,53.64,56,14,12.28,1650652212
Okhotsk,RU,59.3833,143.3,24.37,88,98,2.91,1650652212
Leningradskiy,RU,69.3833,178.4167,10.6,94,44,4.25,1650652213
Kiryat Gat,IL,31.61,34.7642,74.39,100,98,3.06,1650652213
Osoyoos,CA,49.0331,-119.4524,52.56,71,15,2.3,1650652213
Norden,DE,53.6,7.2,58.95,82,45,19.44,1650652214
Shenjiamen,CN,29.9576,122.298,60.76,96,100,5.23,1650652214
Pochutla,MX,15.7432,-96.4661,88.83,46,85,9.86,1650652214
Challans,FR,46.8436,-1.8749,66.4,85,100,2.42,1650652215
Denpasar,ID,-8.65,115.2167,80.26,88,20,5.75,1650651916
Narrabri,AU,-30.3167,149.7833,59.09,72,40,11.5,1650652215
Santa Cruz de la Sierra,BO,-17.8,-63.1667,89.65,58,75,28.77,1650652011
Kropotkin,RU,45.4375,40.5756,44.22,83,0,1.05,1650652216
Mutoko,ZW,-17.397,32.2268,60.87,93,6,3.53,1650652216
San Rafael,AR,-34.6177,-68.3301,66.72,40,59,11.48,1650651940
Okha,RU,53.5739,142.9478,28.98,97,100,15.46,1650652217
Tiarei,PF,-17.5333,-149.3333,77.02,77,80,20.09,1650652217
Bambous Virieux,MU,-20.3428,57.7575,78.22,73,75,18.41,1650652218
Baykit,RU,61.67,96.37,25.21,94,100,4.94,1650652218
Praia,CV,14.9215,-23.5087,81.14,41,0,25.32,1650652218
Torbay,CA,47.6666,-52.7314,50.77,55,75,16.11,1650652219
Altamira,BR,-3.2033,-52.2064,86.09,70,40,5.75,1650652219
Bilibino,RU,68.0546,166.4372,7.38,97,100,1.28,1650652219
Bethel,US,41.3712,-73.414,67.01,37,0,13.8,1650652220
Cassino,IT,41.4876,13.8315,58.44,76,80,1.01,1650652220
Balakhninskiy,RU,58.0106,114.2769,15.3,90,76,2.86,1650652221
Karaton,ID,-6.3424,106.1045,74.3,94,100,1.88,1650652221
Keti Bandar,PK,24.1447,67.4497,80.42,77,0,10.36,1650652221
Shimoda,JP,34.6667,138.95,64.38,85,99,14.58,1650652222
Tuatapere,NZ,-46.1333,167.6833,44.46,90,27,5.84,1650652222
Kenai,US,60.5544,-151.2583,43.03,71,100,14.97,1650652222
Manaus,BR,-3.1019,-60.025,84.7,83,75,3.44,1650652223
Yeppoon,AU,-23.1333,150.7333,67.78,70,68,21.25,1650652223
Charters Towers,AU,-20.1,146.2667,66.85,95,100,10.69,1650652224
‘Āhuimanu,US,21.4447,-157.8378,76.71,76,100,9.22,1650652224
Saint George,US,37.1041,-113.5841,55.44,61,75,6.91,1650652195
Sisimiut,GL,66.9395,-53.6735,26.44,86,100,8.32,1650652224
Rio Grande,BR,-32.035,-52.0986,77.11,71,100,6.78,1650652225
Fairhope,US,30.523,-87.9033,84.15,55,20,7.0,1650652225
Lüderitz,NA,-26.6481,15.1594,63.14,69,0,19.64,1650652225
Dongsheng,CN,39.8161,109.9776,51.98,26,0,14.9,1650652226
Mujiayingzi,CN,42.1167,118.7833,49.6,37,74,11.45,1650652226
Laguna,US,38.421,-121.4238,62.06,61,75,5.75,1650652226
Korla,CN,41.7597,86.1469,64.11,24,66,1.34,1650652227
Pathein,MM,16.7833,94.7333,79.09,78,8,6.87,1650652227
Banda Aceh,ID,5.5577,95.3222,80.74,82,73,5.44,1650652227
Severo-Kuril'sk,RU,50.6789,156.125,38.34,93,100,5.99,1650652228
Ciudad Bolivar,VE,8.1222,-63.5497,98.47,28,77,6.96,1650652228
Landerneau,FR,48.4525,-4.2525,61.56,65,0,18.41,1650652228
Ngunguru,NZ,-35.6167,174.5,61.07,65,100,15.99,1650652229
Kununurra,AU,-15.7667,128.7333,66.18,88,7,0.0,1650652179
Esna,EG,25.2934,32.554,82.13,10,77,11.32,1650652229
São João da Barra,BR,-21.6403,-41.0511,89.69,70,0,7.0,1650652230
Ugoofaaru,MV,5.6667,73.0,83.91,71,100,3.74,1650652230
Vestmannaeyjar,IS,63.4427,-20.2734,47.39,81,20,23.02,1650652230
São Filipe,CV,14.8961,-24.4956,75.42,71,0,7.14,1650652230
Sangar,RU,63.9242,127.4739,8.67,97,100,1.88,1650652231
Tobol,KZ,52.6844,62.5794,39.63,41,4,6.85,1650652231
Kambove,CD,-10.8764,26.5969,63.97,87,76,3.49,1650652232
Brasília,BR,-15.7797,-47.9297,84.61,37,75,6.91,1650652232
Iwanai,JP,42.9744,140.5089,46.02,93,100,13.47,1650652232
Itoman,JP,26.1247,127.6694,75.58,94,75,10.36,1650652233
Tefé,BR,-3.3542,-64.7114,91.51,58,40,4.61,1650652233
Qax,AZ,41.4225,46.9242,58.19,71,25,5.23,1650652233
Luwuk,ID,-0.9516,122.7875,78.03,86,99,3.38,1650652234
Kavaratti,IN,10.5669,72.642,84.72,72,95,4.74,1650652234
Hongjiang,CN,27.11,109.9956,67.05,96,30,0.72,1650652234
Faanui,PF,-16.4833,-151.75,78.89,78,51,11.03,1650652235
Kivsharivka,UA,49.6213,37.7036,47.7,76,41,6.49,1650652235
Golspie,GB,57.9727,-3.978,46.99,83,4,7.34,1650652235
Tura,IN,25.5198,90.2201,71.15,92,3,5.59,1650652236
Thunder Bay,CA,48.4001,-89.3168,39.29,72,100,18.41,1650651936
Marathon,US,44.9,-89.7668,44.87,81,100,11.5,1650652236
Lorengau,PG,-2.0226,147.2712,81.86,76,62,6.85,1650652237
Tinskoy,RU,56.1525,96.9161,28.27,87,100,16.87,1650652237
Sibolga,ID,1.7427,98.7792,78.06,87,100,3.4,1650652237
Naze,JP,28.3667,129.4833,70.72,92,100,10.09,1650652238
Mildura,AU,-34.2,142.15,53.56,87,99,6.91,1650652215
Mount Isa,AU,-20.7333,139.5,69.57,83,100,10.36,1650652238
Wolverhampton,GB,52.5855,-2.123,56.17,63,6,16.17,1650652239
Asău,RO,46.4333,26.4,54.52,86,81,2.44,1650652239
Port Lincoln,AU,-34.7333,135.8667,59.68,65,100,12.75,1650652240
Voyvozh,RU,62.892,54.9635,27.43,89,100,4.34,1650652240
Mossamedes,AO,-15.1961,12.1522,72.23,83,100,10.36,1650652240
Bismarck,US,46.8083,-100.7837,42.66,92,100,12.66,1650652241
Kīhei,US,20.785,-156.4656,74.84,84,40,11.5,1650652142
Verkhnevilyuysk,RU,63.4453,120.3167,12.87,99,98,2.17,1650652241
Adrar,MR,20.5022,-10.0711,83.23,12,25,11.59,1650652242
Kerchevskiy,RU,59.946,56.2884,25.95,92,97,3.29,1650652242
Tasiilaq,GL,65.6145,-37.6368,39.36,94,100,5.91,1650652242
Carballo,ES,43.213,-8.691,53.55,88,100,1.97,1650652243
Coyhaique,CL,-45.5752,-72.0662,48.81,81,100,5.75,1650652215
Katsuura,JP,35.1333,140.3,62.89,87,96,11.74,1650652243
Newport Beach,US,33.6189,-117.9289,66.15,67,75,11.5,1650652218
Chicama,PE,-7.8447,-79.1469,64.94,65,68,10.07,1650652244
Merrill,US,45.1805,-89.6835,47.8,62,100,10.36,1650652244
Stonehaven,GB,56.9637,-2.2118,55.53,71,0,10.71,1650652244
Totness,SR,5.8833,-56.3167,79.61,78,84,6.33,1650652245
Kondinskoye,RU,59.6481,67.41,8.74,95,14,6.02,1650652245
Bubaque,GW,11.2833,-15.8333,77.05,80,100,23.02,1650652246
Kimbe,PG,-5.5502,150.1429,75.11,91,100,2.66,1650652246
Akmenė,LT,56.25,22.75,46.9,66,7,8.19,1650652246
Praia,CV,14.9215,-23.5087,81.14,41,0,25.32,1650652218
Shingū,JP,33.7333,135.9833,58.8,83,100,6.98,1650652247
Howard Springs,AU,-12.497,131.047,78.82,98,7,5.75,1650652247
Padang,ID,-0.9492,100.3543,79.34,84,100,3.02,1650652248
Ahipara,NZ,-35.1667,173.1667,62.38,59,92,17.13,1650652248
Loukhi,RU,66.0764,33.0381,34.88,93,100,7.7,1650652248
Charlestown,AU,-32.95,151.6667,59.83,97,98,1.99,1650652069
Fengcheng,CN,40.4536,124.0717,47.59,37,0,2.1,1650652249
Nabire,ID,-3.3667,135.4833,75.81,94,100,3.24,1650652249
Mabaruma,GY,8.2,-59.7833,80.4,77,96,6.33,1650652249
Jieshi,CN,22.8134,115.8257,75.94,93,76,1.36,1650652250
Sioux Lookout,CA,50.1001,-91.917,37.47,60,100,9.22,1650652250
Östersund,SE,63.1792,14.6357,48.65,46,0,3.44,1650652251
Isil'kul',RU,54.9109,71.2728,33.28,52,100,6.11,1650652251
Vanimo,PG,-2.6741,141.3028,77.23,90,100,1.5,1650652251
Tocopilla,CL,-22.092,-70.1979,69.49,72,21,9.75,1650652252
Keningau,MY,5.3378,116.1602,71.42,99,100,1.72,1650652252
Tongliao,CN,43.6125,122.2653,50.14,34,2,17.58,1650652252
Abéché,TD,13.8292,20.8324,93.06,15,45,7.9,1650652253
Puqi,CN,29.7167,113.8833,68.07,96,100,3.42,1650652253
Kahului,US,20.8947,-156.47,74.84,83,40,11.5,1650651965
Saint-Joseph,RE,-21.3667,55.6167,75.58,82,35,16.6,1650652254
Dolisie,CG,-4.1997,12.6739,74.66,94,100,3.96,1650652254
The Valley,AI,18.217,-63.0578,82.26,65,40,14.97,1650652255
Simpang,ID,-1.2667,104.0833,75.04,98,100,0.87,1650652255
Half Moon Bay,US,37.4636,-122.4286,60.19,73,0,11.5,1650652255
Vostok,RU,46.4856,135.8833,31.26,98,100,5.75,1650652256
Yar-Sale,RU,66.8333,70.8333,-3.17,99,35,8.81,1650652256
Guarapari,BR,-20.6667,-40.4975,83.28,63,16,9.24,1650652257
Vila Franca do Campo,PT,37.7167,-25.4333,61.21,67,74,12.17,1650652257
Qingyang,CN,37.4958,121.2581,50.67,34,2,4.92,1650652257
Kargasok,RU,59.0556,80.8572,17.42,78,100,13.53,1650652258
Tual,ID,-5.6667,132.75,83.82,72,57,7.87,1650652258
Karasburg,NA,-28.0167,18.75,71.53,35,50,11.1,1650652258
Aromashevo,RU,56.8602,68.6375,26.13,62,79,7.63,1650652259
Pacific Grove,US,36.6177,-121.9166,58.41,78,75,8.05,1650652259
Labuhan,ID,-6.8844,112.2051,79.09,87,98,4.99,1650652259
Wawa,NG,9.9022,4.4192,91.29,41,35,2.01,1650652260
Qui Nhon,VN,13.7667,109.2333,76.35,88,21,3.96,1650652260
Kiunga,PG,-6.1219,141.2906,72.81,100,99,2.15,1650652260
Meulaboh,ID,4.1363,96.1285,78.58,87,69,2.95,1650652261
Lázaro Cárdenas,MX,17.9583,-102.2,85.71,51,0,11.61,1650652203
Bambanglipuro,ID,-7.95,110.2833,76.28,89,68,4.68,1650652261
Ust-Kuyga,RU,70.0167,135.6,-6.3,100,99,0.83,1650652262
Kharp,RU,66.8014,65.8081,-0.4,92,100,5.59,1650652262
Buíque,BR,-8.6231,-37.1558,81.19,49,96,11.25,1650652262
Kruisfontein,ZA,-34.0033,24.7314,58.89,78,100,9.53,1650652263
Lashio,MM,22.9333,97.75,67.66,65,20,1.34,1650652263
Hamilton,US,39.1834,-84.5333,76.98,46,0,9.22,1650652242
Częstochowa,PL,50.7965,19.1241,47.52,72,95,10.0,1650652082
Tawang Town,IN,27.5833,91.8667,48.61,92,92,0.43,1650652264
Plettenberg Bay,ZA,-34.0527,23.3716,59.67,82,100,5.41,1650652264
Margate,GB,51.3813,1.3862,51.12,83,100,5.99,1650652264
Puerto Escondido,MX,15.85,-97.0667,87.62,59,15,9.17,1650652265
Tessalit,ML,20.1986,1.0114,88.09,6,100,10.07,1650652265
Fairbanks,US,64.8378,-147.7164,39.16,56,40,3.44,1650652202
Al Bardīyah,LY,31.7561,25.0865,62.69,78,0,13.15,1650652266
Isangel,VU,-19.55,169.2667,76.28,72,99,9.46,1650652266
Beaverlodge,CA,55.2166,-119.4361,43.95,52,47,4.16,1650652266
Kemijärvi,FI,66.7131,27.4306,36.88,85,84,7.36,1650652267
Tucuruí,BR,-3.7661,-49.6725,79.83,90,100,2.98,1650652267
Umm Hājar,TD,13.2954,19.6966,96.64,19,51,6.98,1650652268
Xiaoweizhai,CN,26.1903,107.5125,64.27,98,100,1.41,1650652268
Palembang,ID,-2.9167,104.7458,78.89,94,40,3.44,1650652268
Avera,US,33.194,-82.5271,80.55,48,6,5.53,1650652269
Alice,US,27.7523,-98.0697,87.69,48,75,19.57,1650652269
Akdepe,TM,42.0551,59.3788,75.29,38,100,6.22,1650652270
Cockburn Town,TC,21.4612,-71.1419,77.54,73,0,16.89,1650652270
Araouane,ML,18.9048,-3.5265,85.95,7,100,10.22,1650652271
Pevek,RU,69.7008,170.3133,1.92,97,86,5.64,1650652271
Souillac,MU,-20.5167,57.5167,77.38,73,75,18.41,1650652272
Bereda,ES,43.2686,-7.5406,47.14,94,100,4.43,1650652272
Yaan,NG,7.3833,8.5667,89.94,47,84,4.21,1650652272
Los Llanos de Aridane,ES,28.6585,-17.9182,64.15,73,75,6.91,1650652273
Bolivar,US,37.6145,-93.4105,81.36,52,0,3.0,1650652273
Korsakov,RU,46.6328,142.7813,46.24,97,100,19.91,1650652274
Bulgan,MN,48.8125,103.5347,39.78,33,94,9.26,1650652274
Hailar,CN,49.2,119.7,37.49,58,100,6.82,1650652274
Marmari,GR,38.0484,24.3204,66.45,73,98,9.31,1650652275
Houston,US,29.7633,-95.3633,87.42,62,75,18.41,1650652275
Santa Lucía,ES,27.9117,-15.5407,58.77,72,75,6.91,1650652081
Cabo San Lucas,MX,22.8909,-109.9124,79.9,69,0,8.05,1650652058
Union,US,40.6334,-74.2663,70.75,24,0,20.71,1650652276
Salinas,US,36.6777,-121.6555,58.82,69,100,8.05,1650652199
Fujin,CN,47.26,132.0322,37.29,56,5,7.29,1650652276
Kabwe,ZM,-14.4469,28.4464,62.15,96,1,5.06,1650652277
Majene,ID,-3.5403,118.9707,77.88,89,100,3.98,1650652277
Sorong,ID,-0.8833,131.25,77.65,90,100,9.48,1650652278
Knysna,ZA,-34.0363,23.0471,60.37,83,100,3.58,1650652278
